 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
2501,329,38,159.405,129.634,0,1.044,1.273,2.046,3.623,6.957,0.076
2502,329,39,162.207,132.430,0,1.481,1.459,2.692,5.516,12.232,0.056
2503,330,38,226.823,148.161,0,1.147,1.381,2.424,4.704,9.865,0.090
2504,330,39,226.739,148.211,0,1.326,1.398,2.488,4.963,10.837,0.094
2505,330,40,226.680,148.323,0,1.545,1.251,1.993,3.502,6.683,0.035
2506,330,41,225.835,147.748,0,1.206,1.354,2.293,4.281,8.640,0.066
2507,331,38,151.522,224.182,0,1.246,1.308,2.134,3.791,7.190,0.077
2508,331,39,151.406,224.549,0,1.284,1.133,1.645,2.609,4.491,0.019
2509,331,40,151.150,224.304,0,1.069,1.422,2.559,5.142,11.278,0.111
2510,331,41,151.250,224.661,0,0.953,1.367,2.393,4.653,9.808,0.063
2511,332,38,198.249,233.664,0,1.470,1.580,3.070,6.590,15.239,0.023
2512,332,39,198.547,234.671,0,1.056,1.507,2.951,6.521,15.745,0.021
2513,332,40,198.552,232.750,0,1.278,1.496,2.796,5.792,12.970,0.051
2514,333,38,284.297,354.518,0,1.349,1.307,2.174,4.027,8.153,0.063
2515,333,39,284.604,354.758,0,1.280,1.539,2.920,6.102,13.710,0.038
2516,334,38,351.896,373.479,0,1.507,1.380,2.407,4.671,9.866,0.049
2517,334,39,351.961,373.339,0,1.543,1.312,2.188,4.036,8.079,0.067
2518,334,40,351.502,373.576,0,1.419,1.297,2.117,3.847,7.661,0.048
2519,334,41,351.450,373.293,0,1.279,1.464,2.685,5.460,12.001,0.089
2520,334,42,351.990,372.705,0,1.672,1.446,2.587,5.094,10.799,0.060
2521,335,39,192.481,153.607,0,1.503,1.430,2.572,5.138,11.148,0.052
2522,335,40,192.302,153.380,0,0.989,1.309,2.135,3.828,7.417,0.043
2523,336,39,222.232,200.430,0,0.908,1.281,2.098,3.795,7.428,0.049
2524,336,40,221.415,200.353,0,1.236,1.423,2.497,4.793,9.853,0.084
2525,336,41,220.668,200.899,0,1.476,1.390,2.449,4.787,10.179,0.044
2526,336,42,221.039,200.973,0,1.566,1.388,2.469,4.914,10.693,0.081
2527,337,39,91.130,202.490,0,1.155,1.384,2.495,5.097,11.514,0.093
2528,337,40,90.220,202.746,0,1.555,1.479,2.768,5.779,13.118,0.053
2529,337,41,88.821,202.945,0,1.533,1.427,2.616,5.389,12.153,0.069
2530,337,42,87.659,202.697,0,1.802,1.515,2.826,5.783,12.689,0.024
2531,337,43,86.849,203.426,0,1.124,1.451,2.639,5.326,11.647,0.115
2532,337,44,86.783,203.655,0,1.697,1.513,2.849,5.943,13.393,0.035
2533,338,39,108.648,215.653,0,1.097,1.441,2.656,5.451,12.170,0.068
2534,338,40,107.603,214.911,0,1.170,1.405,2.521,5.083,11.244,0.105
2535,338,41,107.299,216.343,0,1.156,1.263,2.017,3.518,6.573,0.038
2536,339,39,251.625,227.709,0,1.461,1.584,3.106,6.752,15.835,0.037
2537,339,40,251.659,226.430,0,1.276,1.346,2.241,4.074,7.929,0.089
2538,340,39,229.745,245.791,0,1.400,1.581,3.107,6.786,16.021,0.040
2539,340,40,230.597,246.043,0,1.707,1.404,2.480,4.842,10.229,0.047
2540,341,39,142.625,247.432,0,1.100,1.207,1.849,3.105,5.633,0.057
2541,341,40,141.609,248.017,0,1.309,1.469,2.733,5.649,12.674,0.055
2542,342,39,175.506,248.096,0,1.277,1.393,2.412,4.595,9.426,0.094
2543,342,40,175.684,248.334,0,1.323,1.290,2.089,3.726,7.190,0.049
2544,342,41,175.049,248.327,0,1.465,1.473,2.720,5.553,12.236,0.100
2545,342,42,174.767,248.405,0,1.118,1.388,2.501,5.053,11.151,0.121
2546,343,39,156.685,250.088,0,1.488,1.506,2.805,5.765,12.771,0.046
2547,343,40,157.274,249.706,0,1.303,1.547,2.936,6.161,13.960,0.030
2548,343,41,156.933,250.011,0,1.571,1.545,2.966,6.313,14.522,0.029
2549,343,42,157.381,249.688,0,1.339,1.400,2.556,5.283,12.031,0.069
2550,343,43,157.240,249.667,0,1.467,1.314,2.203,4.127,8.483,0.068
